Cinsiyet;Yaþ;Toplu_tasima_araci;Toplu_tasima_haftalik;Egitim_durumu;Arac_durum;Aylik_gelir;Isýnma_turu;Arac_km_yillik;Arac_yakit_tipi;Yillik_ortalama_yakýt_TL;Bolge;Sehir;Hane_kisi;Yillik_ortalama_elk;"PV_sistem
";Yillik_ortalama_dogalgaz;"
Enerji_sinifi_kontorl";Tekstil_alisveris;Zararlý_ürün;Atik_donusum;PC_yenileme;;Birim_Dogalgaz;Birim_Elk_Ev;Birim_Benzin;Birim_Mazot;Birim_LPG;Birim_Arac_Sarj;Toplu_tasima_kisi;Toplu_tasima_km;Yillik_yakit_miktar;Yillik_lpg_miktar;Yillik_dogalgaz_miktar;Yillik_elk_miktar;Emisyon_elektrik;Emisyon_dogalgaz;Emisyon_benzin;Emisyon_mazot;Emisyon_lpg;Emisyon_toplutasima;Emisyon_kömür;Emisyon_Toplam
Kadýn;25-34;2;1;4;1;80.000 TL+;Doðalgaz;1200;Hibrit;30000;Marmara;Bursa;2-3 kiþi;6000;Hayýr;16200;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,74;0;1982,86;4000;1,84;3,89;1,595643803;0,041301639;0;0,00314925;0;7,38
Kadýn;25-34;5;0;4;1;17.000 TL-30.000 TL;Doðalgaz;1200;Benzin+LPG;30000;Ýç Anadolu;Ankara;2-3 kiþi;3600;Hayýr;10800;Hayýr;5-6 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;327,87;714,29;1321,91;0;0,00;2,60;0,797821902;0;578,5714286;0;0;581,96
Kadýn;35-44;2;3;4;1;50.000 TL-80.000 TL;Doðalgaz;1200;Dizel;30000;Karadeniz;Samsun;2-3 kiþi;3600;Hayýr;6000;Evet;3-4 kez;Evet;Evet;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;678,12;0;734,39;2400;1,11;1,44;0;0,042711347;0;0,00314925;0;2,59
Kadýn;45-54;5;0;1;1;30.000 TL-50.000 TL;Doðalgaz;1200;Dizel;9000;Ýç Anadolu;Ankara;4-6 kiþi;3600;Hayýr;13200;Evet;1-2 kez;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;203,44;0;1615,67;0;0,00;3,17;0;0,012813404;0;0;0;3,18
Erkek;45-54;1;3;5;1;80.000 TL+;Doðalgaz;1200;Benzin;42000;Ýç Anadolu;Ankara;4-6 kiþi;6000;Hayýr;0;Evet;Hiç;Hayýr;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;0,00;4000;1,84;0,00;2,233901325;0;0;0,00314925;0;4,08
Kadýn;25-34;5;0;4;0;30.000 TL-50.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Ýç Anadolu;Ankara;4-6 kiþi;3600;Hayýr;16200;Evet;3-4 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1982,86;#SAYI/0!;#SAYI/0!;3,89;0;0;0;0;0;#SAYI/0!
Erkek;25-34;3;4;5;0;30.000 TL-50.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;4-6 kiþi;8400;Hayýr;8400;Hayýr;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1028,15;5600;2,58;2,02;0;0;0;0,00314925;0;4,60
Kadýn;35-44;2;0;2;1;50.000 TL-80.000 TL;Doðalgaz;7200;Benzin;42000;Karadeniz;Samsun;4-6 kiþi;3600;Hayýr;13200;Evet;3-4 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;1615,67;2400;1,11;3,17;2,233901325;0;0;0,00314925;0;6,52
Kadýn;25-34;1;3;4;0;30.000 TL-50.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;6000;Hayýr;3-4 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;734,39;2400;1,11;1,44;0;0;0;0,00314925;0;2,55
Kadýn;35-44;5;1;2;1;50.000 TL-80.000 TL;Doðalgaz;7200;Benzin;30000;Marmara;Ýstanbul;4-6 kiþi;6000;Hayýr;8400;Evet;5-6 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;1028,15;0;0,00;2,02;1,595643803;0;0;0;0;3,61
